! Vector Network Analyzer VNA R2,,,,,,,
! Tucson Amateur Packet Radio,,,,,,,
! Friday, March 02, 2012   2:56:46 PM,,,,,
50+j0,50,,Unity,1,,,
,,,,,,,
Frequency (Hz.),S11,S21,S12,S22,,Zin,Zout
2000000,-0.999212+0.00109085i,0.978728-0.0927482i,0.978728-0.0927482i,-0.999212+0.00109085i,,0.0196928728468277+0.0272927443264371i,0.0196928728468277+0.0272927443264371i
2140703,-0.99001-0.00316396i,0.982107-0.116375i,0.982107-0.116375i,-0.99001-0.00316396i,,0.250876737077165-0.079894957292196i,0.250876737077165-0.079894957292196i
2281407,-0.997095+0.00859997i,0.952502-0.119898i,0.952502-0.119898i,-0.997095+0.00859997i,,0.071802124712776+0.215621187834563i,0.071802124712776+0.215621187834563i
2422110,-0.986973-0.00639389i,0.973838-0.135649i,0.973838-0.135649i,-0.986973-0.00639389i,,0.327289057061811-0.161948426188507i,0.327289057061811-0.161948426188507i
2562814,-0.992534+0.017667i,0.980621-0.124095i,0.980621-0.124095i,-0.992534+0.017667i,,0.183404127708901+0.444956121563915i,0.183404127708901+0.444956121563915i
2703517,-0.994708+0.0085233i,0.958575-0.156589i,0.958575-0.156589i,-0.994708+0.0085233i,,0.131735681528635+0.214210712913556i,0.131735681528635+0.214210712913556i
2844221,-0.990531+0.000874445i,0.982869-0.149457i,0.982869-0.149457i,-0.990531+0.000874445i,,0.237841410832521+0.0220696031523726i,0.237841410832521+0.0220696031523726i
2984924,-0.993346-0.00858188i,0.956984-0.15415i,0.956984-0.15415i,-0.993346-0.00858188i,,0.165975452770451-0.215977748679166i,0.165975452770451-0.215977748679166i
3125628,-1.00405+0.00981814i,0.96002-0.164281i,0.96002-0.164281i,-1.00405+0.00981814i,,-0.102243012252266+0.244456557367175i,-0.102243012252266+0.244456557367175i
3266331,-1.00168+0.0010292i,0.956787-0.173385i,0.956787-0.173385i,-1.00168+0.0010292i,,-0.0419779569543524+0.025686821213532i,-0.0419779569543524+0.025686821213532i
3407035,-1.00082+0.00327285i,0.970523-0.190295i,0.970523-0.190295i,-1.00082+0.00327285i,,-0.0206253278707679+0.081753979066422i,-0.0206253278707679+0.081753979066422i
3547738,-0.997502+0.000564464i,0.942553-0.20239i,0.942553-0.20239i,-0.997502+0.000564464i,,0.0625240998884205+0.0141469157995934i,0.0625240998884205+0.0141469157995934i
3688442,-0.997749+0.00228568i,0.969338-0.198624i,0.969338-0.198624i,-0.997749+0.00228568i,,0.0562728838049035+0.0572707691532095i,0.0562728838049035+0.0572707691532095i
3829145,-1.00216+0.00697111i,0.941-0.213839i,0.941-0.213839i,-1.00216+0.00697111i,,-0.0545472263507355+0.173899810846742i,-0.0545472263507355+0.173899810846742i
3969849,-0.997422+0.00431477i,0.95177-0.21393i,0.95177-0.21393i,-0.997422+0.00431477i,,0.0642995666256505+0.108147370881611i,0.0642995666256505+0.108147370881611i
4110552,-0.994446+0.00589483i,0.934724-0.236806i,0.934724-0.236806i,-0.994446+0.00589483i,,0.138798662404815+0.148191374707113i,0.138798662404815+0.148191374707113i
4251256,-0.995907+0.00172357i,0.935042-0.236945i,0.935042-0.236945i,-0.995907+0.00172357i,,0.1024974749851+0.0432661249111106i,0.1024974749851+0.0432661249111106i
4391959,-0.99915+0.00958378i,0.933734-0.242021i,0.933734-0.242021i,-0.99915+0.00958378i,,0.020109485933929+0.239792774373661i,0.020109485933929+0.239792774373661i
4532663,-1.00036+0.0172865i,0.923012-0.255568i,0.923012-0.255568i,-1.00036+0.0172865i,,-0.0127313737140057+0.431974704107407i,-0.0127313737140057+0.431974704107407i
4673366,-0.993399+0.00572795i,0.918809-0.263888i,0.918809-0.263888i,-0.993399+0.00572795i,,0.165157266678953+0.144147515156612i,0.165157266678953+0.144147515156612i
4814070,-0.999028+0.00470084i,0.929832-0.260793i,0.929832-0.260793i,-0.999028+0.00470084i,,0.0240351902372864+0.117634663238171i,0.0240351902372864+0.117634663238171i
4954773,-0.995828+0.00888088i,0.916388-0.265859i,0.916388-0.265859i,-0.995828+0.00888088i,,0.103525973434836+0.222946767831175i,0.103525973434836+0.222946767831175i
5095477,-0.9951+0.00909349i,0.91926-0.271391i,0.91926-0.271391i,-0.9951+0.00909349i,,0.121759604572706+0.228450563754491i,0.121759604572706+0.228450563754491i
5236180,-0.996752+0.00942355i,0.91815-0.285101i,0.91815-0.285101i,-0.996752+0.00942355i,,0.0802166412312385+0.236350546051525i,0.0802166412312385+0.236350546051525i
5376884,-0.999853+0.00979651i,0.912889-0.284851i,0.912889-0.284851i,-0.999853+0.00979651i,,0.00247538926232575+0.244942878389392i,0.00247538926232575+0.244942878389392i
5517587,-0.996762+0.00992445i,0.903335-0.295064i,0.903335-0.295064i,-0.996762+0.00992445i,,0.0798441180165485+0.248910440481664i,0.0798441180165485+0.248910440481664i
5658291,-0.993572+0.0104282i,0.905785-0.296682i,0.905785-0.296682i,-0.993572+0.0104282i,,0.159845659286166+0.26238174618432i,0.159845659286166+0.26238174618432i
5798994,-0.99635+0.00988294i,0.89505-0.298627i,0.89505-0.298627i,-0.99635+0.00988294i,,0.0901892505875645+0.247971715857541i,0.0901892505875645+0.247971715857541i
5939698,-0.999433+0.00952438i,0.899251-0.297156i,0.899251-0.297156i,-0.999433+0.00952438i,,0.0130441578754926+0.238239159559928i,0.0130441578754926+0.238239159559928i
6080402,-0.996019+0.0101592i,0.891882-0.308035i,0.891882-0.308035i,-0.996019+0.0101592i,,0.0984256817345245+0.254987515743025i,0.0984256817345245+0.254987515743025i
6221105,-0.996553+0.00858589i,0.891439-0.311616i,0.891439-0.311616i,-0.996553+0.00858589i,,0.0853975463983915+0.215385073143386i,0.0853975463983915+0.215385073143386i
6361809,-0.997844+0.0100133i,0.892365-0.312091i,0.892365-0.312091i,-0.997844+0.0100133i,,0.0527008092637155+0.25086678890514i,0.0527008092637155+0.25086678890514i
6502512,-0.995519+0.0119232i,0.884958-0.308539i,0.884958-0.308539i,-0.995519+0.0119232i,,0.110487587706575+0.2994095098096i,0.110487587706575+0.2994095098096i
6643216,-0.994287+0.00965689i,0.878833-0.308463i,0.878833-0.308463i,-0.994287+0.00965689i,,0.142058435098945+0.242801734495247i,0.142058435098945+0.242801734495247i
6783919,-0.996945+0.0135983i,0.885043-0.313447i,0.885043-0.313447i,-0.996945+0.0135983i,,0.0741699023868435+0.340982643279423i,0.0741699023868435+0.340982643279423i
6924623,-0.999769+0.00739878i,0.886636-0.308874i,0.886636-0.308874i,-0.999769+0.00739878i,,0.00509116498501965+0.18500970282551i,0.00509116498501965+0.18500970282551i
7065326,-0.999162+0.00828588i,0.886211-0.311797i,0.886211-0.311797i,-0.999162+0.00828588i,,0.0200995192390705+0.207317136982632i,0.0200995192390705+0.207317136982632i
7206030,-0.992308+0.0194568i,0.884025-0.305059i,0.884025-0.305059i,-0.992308+0.0194568i,,0.188255787906092+0.490136492557442i,0.188255787906092+0.490136492557442i
7346733,-0.9902+0.0202803i,0.874925-0.309213i,0.874925-0.309213i,-0.9902+0.0202803i,,0.240989499660608+0.51195977256053i,0.240989499660608+0.51195977256053i
7487437,-0.995522+0.012754i,0.87496-0.30904i,0.87496-0.30904i,-0.995522+0.012754i,,0.110154276585812+0.320269537315838i,0.110154276585812+0.320269537315838i
7628140,-0.993878+0.0143586i,0.873925-0.306052i,0.873925-0.306052i,-0.993878+0.0143586i,,0.150919130646745+0.361153986066i,0.150919130646745+0.361153986066i
7768844,-0.99132+0.0151138i,0.870988-0.310492i,0.870988-0.310492i,-0.99132+0.0151138i,,0.2150532133678+0.381124214719984i,0.2150532133678+0.381124214719984i
7909547,-0.992078+0.0147309i,0.865522-0.303934i,0.865522-0.303934i,-0.992078+0.0147309i,,0.196092763532313+0.371187083482834i,0.196092763532313+0.371187083482834i
8050251,-0.992128+0.0150241i,0.861849-0.304764i,0.861849-0.304764i,-0.992128+0.0150241i,,0.194722702514852+0.378555260181501i,0.194722702514852+0.378555260181501i
8190954,-0.992786+0.0151895i,0.857102-0.313173i,0.857102-0.313173i,-0.992786+0.0151895i,,0.178087600992434+0.382469598649967i,0.178087600992434+0.382469598649967i
8331658,-0.99158+0.0149622i,0.853599-0.317793i,0.853599-0.317793i,-0.99158+0.0149622i,,0.208556126020029+0.377203254937656i,0.208556126020029+0.377203254937656i
8472361,-0.993841+0.016107i,0.859084-0.315987i,0.859084-0.315987i,-0.993841+0.016107i,,0.151177755788592+0.405140139114647i,0.151177755788592+0.405140139114647i
8613065,-0.991809+0.0152219i,0.849374-0.31618i,0.849374-0.31618i,-0.991809+0.0152219i,,0.202685068881767+0.383661411234717i,0.202685068881767+0.383661411234717i
8753768,-0.991442+0.014952i,0.849537-0.318878i,0.849537-0.318878i,-0.991442+0.014952i,,0.212038874464763+0.376998378687904i,0.212038874464763+0.376998378687904i
8894472,-0.993308+0.0149845i,0.848197-0.322692i,0.848197-0.322692i,-0.993308+0.0149845i,,0.165026771678624+0.377110734347235i,0.165026771678624+0.377110734347235i
9035175,-0.990921+0.0135275i,0.845589-0.324839i,0.845589-0.324839i,-0.990921+0.0135275i,,0.225691306827921+0.341263183799415i,0.225691306827921+0.341263183799415i
9175879,-0.99193+0.0149362i,0.839929-0.325509i,0.839929-0.325509i,-0.99193+0.0149362i,,0.199744861537266+0.376415551350144i,0.199744861537266+0.376415551350144i
9316582,-0.990185+0.0160764i,0.835616-0.331924i,0.835616-0.331924i,-0.990185+0.0160764i,,0.243306663749928+0.405857493272791i,0.243306663749928+0.405857493272791i
9457286,-0.991654+0.0133316i,0.830342-0.331658i,0.830342-0.331658i,-0.991654+0.0133316i,,0.207274754888121+0.336074089235513i,0.207274754888121+0.336074089235513i
9597989,-0.990554+0.0170766i,0.799978-0.336517i,0.799978-0.336517i,-0.990554+0.0170766i,,0.233573633365095+0.430944673446449i,0.233573633365095+0.430944673446449i
9738693,-0.990266+0.0160016i,0.818814-0.345175i,0.818814-0.345175i,-0.990266+0.0160016i,,0.241292555780681+0.403936492388746i,0.241292555780681+0.403936492388746i
9879396,-0.990656+0.0155139i,0.813891-0.349849i,0.813891-0.349849i,-0.990656+0.0155139i,,0.231645609264227+0.391473326791553i,0.231645609264227+0.391473326791553i
10020100,-0.990405+0.0164411i,0.810943-0.358947i,0.810943-0.358947i,-0.990405+0.0164411i,,0.237603608869159+0.414971558398305i,0.237603608869159+0.414971558398305i
10160804,-0.990922+0.0151158i,0.803576-0.361372i,0.803576-0.361372i,-0.990922+0.0151158i,,0.225089650222194+0.381327048540741i,0.225089650222194+0.381327048540741i
10301507,-0.988621+0.0134794i,0.801953-0.369702i,0.801953-0.369702i,-0.988621+0.0134794i,,0.283792499187121+0.340836867665353i,0.283792499187121+0.340836867665353i
10442211,-0.989066+0.0147062i,0.795332-0.375146i,0.795332-0.375146i,-0.989066+0.0147062i,,0.272104537730597+0.371687829238836i,0.272104537730597+0.371687829238836i
10582914,-0.987123+0.0179544i,0.790558-0.381304i,0.790558-0.381304i,-0.987123+0.0179544i,,0.319903130115759+0.454659157364366i,0.319903130115759+0.454659157364366i
10723618,-0.985043+0.0194962i,0.777433-0.403861i,0.777433-0.403861i,-0.985043+0.0194962i,,0.371883452935027+0.494729995357839i,0.371883452935027+0.494729995357839i
10864321,-0.988133+0.013667i,0.780477-0.394333i,0.780477-0.394333i,-0.988133+0.013667i,,0.296069045147984+0.345749693627156i,0.296069045147984+0.345749693627156i
11005025,-0.991045+0.0145938i,0.775826-0.400107i,0.775826-0.400107i,-0.991045+0.0145938i,,0.222183733078615+0.368114485088887i,0.222183733078615+0.368114485088887i
11145728,-0.988189+0.0149046i,0.768414-0.410905i,0.768414-0.410905i,-0.988189+0.0149046i,,0.294202642774097+0.377034061001992i,0.294202642774097+0.377034061001992i
11286432,-0.988358+0.0144321i,0.759622-0.416542i,0.759622-0.416542i,-0.988358+0.0144321i,,0.290104691821841+0.365020695429516i,0.290104691821841+0.365020695429516i
11427135,-0.989432+0.0128674i,0.753004-0.422219i,0.753004-0.422219i,-0.989432+0.0128674i,,0.263500754319393+0.325098103180269i,0.263500754319393+0.325098103180269i
11567839,-0.989081+0.0132005i,0.743168-0.42958i,0.743168-0.42958i,-0.989081+0.0132005i,,0.272259352336233+0.333630937895699i,0.272259352336233+0.333630937895699i
11708542,-0.988167+0.0159933i,0.740853-0.432448i,0.740853-0.432448i,-0.988167+0.0159933i,,0.294331126574963+0.404579859743498i,0.294331126574963+0.404579859743498i
11849246,-0.987301+0.0158834i,0.732116-0.438676i,0.732116-0.438676i,-0.987301+0.0158834i,,0.316289523050645+0.40215033002571i,0.316289523050645+0.40215033002571i
11989949,-0.986535+0.0155466i,0.72664-0.442694i,0.72664-0.442694i,-0.986535+0.0155466i,,0.335823816613513+0.393927576683705i,0.335823816613513+0.393927576683705i
12130653,-0.987249+0.0146513i,0.721218-0.448118i,0.721218-0.448118i,-0.987249+0.0146513i,,0.318085298930189+0.370977850858255i,0.318085298930189+0.370977850858255i
12271356,-0.987909+0.0138239i,0.715185-0.454498i,0.715185-0.454498i,-0.987909+0.0138239i,,0.301681030500499+0.349797404407111i,0.301681030500499+0.349797404407111i
12412060,-0.987792+0.0149919i,0.712022-0.46105i,0.712022-0.46105i,-0.987792+0.0149919i,,0.304213000063148+0.379393684487938i,0.304213000063148+0.379393684487938i
12552763,-0.987752+0.0143667i,0.702529-0.464851i,0.702529-0.464851i,-0.987752+0.0143667i,,0.305458847733361+0.36358833276371i,0.305458847733361+0.36358833276371i
12693467,-0.988404+0.0144706i,0.695513-0.467786i,0.695513-0.467786i,-0.988404+0.0144706i,,0.2889272437881+0.365977412323633i,0.2889272437881+0.365977412323633i
12834170,-0.985394+0.0158197i,0.690581-0.471083i,0.690581-0.471083i,-0.985394+0.0158197i,,0.364638674221395+0.401307485785985i,0.364638674221395+0.401307485785985i
12974874,-0.986585+0.0144455i,0.682982-0.479622i,0.682982-0.479622i,-0.986585+0.0144455i,,0.334978253537713+0.366011989600988i,0.334978253537713+0.366011989600988i
13115577,-0.985806+0.0160521i,0.678307-0.480873i,0.678307-0.480873i,-0.985806+0.0160521i,,0.35409615150742+0.407033208094654i,0.35409615150742+0.407033208094654i
13256281,-0.986391+0.0140627i,0.674065-0.482776i,0.674065-0.482776i,-0.986391+0.0140627i,,0.340032897422721+0.356383401166531i,0.340032897422721+0.356383401166531i
13396984,-0.986921+0.0132315i,0.668765-0.487993i,0.668765-0.487993i,-0.986921+0.0132315i,,0.326895518756166+0.335141818953256i,0.326895518756166+0.335141818953256i
13537688,-0.985617+0.0144187i,0.664634-0.491806i,0.664634-0.491806i,-0.985617+0.0144187i,,0.359524135740354+0.365689289855999i,0.359524135740354+0.365689289855999i
13678391,-0.986455+0.0135811i,0.65449-0.496057i,0.65449-0.496057i,-0.986455+0.0135811i,,0.338581021543759+0.344157457738377i,0.338581021543759+0.344157457738377i
13819095,-0.984947+0.0162099i,0.652835-0.499044i,0.652835-0.499044i,-0.984947+0.0162099i,,0.375819310097897+0.411389822214274i,0.375819310097897+0.411389822214274i
13959798,-0.984622+0.0163462i,0.648406-0.504273i,0.648406-0.504273i,-0.984622+0.0163462i,,0.384010951412019+0.41498437476455i,0.384010951412019+0.41498437476455i
14100502,-0.984036+0.0155556i,0.643921-0.507021i,0.643921-0.507021i,-0.984036+0.0155556i,,0.399213128680042+0.39514907982743i,0.399213128680042+0.39514907982743i
14241206,-0.985376+0.0137105i,0.634492-0.512956i,0.634492-0.512956i,-0.985376+0.0137105i,,0.365891043451521+0.347813990473966i,0.365891043451521+0.347813990473966i
14381909,-0.98506+0.0152638i,0.628023-0.516805i,0.628023-0.516805i,-0.98506+0.0152638i,,0.373332672856189+0.387337649870504i,0.373332672856189+0.387337649870504i
14522613,-0.985467+0.0147468i,0.622603-0.524265i,0.622603-0.524265i,-0.985467+0.0147468i,,0.363206097268778+0.374066215996137i,0.363206097268778+0.374066215996137i
14663316,-0.984579+0.0145761i,0.607005-0.532896i,0.607005-0.532896i,-0.984579+0.0145761i,,0.385802659830245+0.370067655734517i,0.385802659830245+0.370067655734517i
14804020,-0.984049+0.0151048i,0.603201-0.535364i,0.603201-0.535364i,-0.984049+0.0151048i,,0.399059891512201+0.383694011513482i,0.399059891512201+0.383694011513482i
14944723,-0.9848+0.0146375i,0.59164-0.539694i,0.59164-0.539694i,-0.9848+0.0146375i,,0.380170057708935+0.371543600977285i,0.380170057708935+0.371543600977285i
15085427,-0.983813+0.0137814i,0.584077-0.543211i,0.584077-0.543211i,-0.983813+0.0137814i,,0.405544401756246+0.350163533366483i,0.405544401756246+0.350163533366483i
15226130,-0.983816+0.0135959i,0.577996-0.53651i,0.577996-0.53651i,-0.983816+0.0135959i,,0.40553322525182+0.345449673345311i,0.40553322525182+0.345449673345311i
15366834,-0.984471+0.0137273i,0.577237-0.533621i,0.577237-0.533621i,-0.984471+0.0137273i,,0.388851861394676+0.348557820273979i,0.388851861394676+0.348557820273979i
15507537,-0.982692+0.0138075i,0.578211-0.531683i,0.578211-0.531683i,-0.982692+0.0138075i,,0.434031348524927+0.351223431498567i,0.434031348524927+0.351223431498567i
15648241,-0.982734+0.0143168i,0.578113-0.532711i,0.578113-0.532711i,-0.982734+0.0143168i,,0.432779368337514+0.364161816794696i,0.432779368337514+0.364161816794696i
15788944,-0.983457+0.0147347i,0.578205-0.528521i,0.578205-0.528521i,-0.983457+0.0147347i,,0.414242205208511+0.374517186216332i,0.414242205208511+0.374517186216332i
